na nb nc nd la lb lc ld ja jb jc jd ma mb mc md   coul_dir         coul_ex          br_dir           br_ex            total
 7  8  7  8  1  0  1  0  3  1  3  1 -3  1 -3  1   0.18480308E+00   0.00000000E+00   0.13397388E-06   0.11464877E-06   0.18480332E+00
 7  7  7  7  1  1  1  1  1  3  1  3  1 -3 -1 -1   0.00000000E+00   0.76030963E-02  -0.67323674E-06  -0.43832398E-07   0.76023792E-02
 7  7  7  7  0  1  0  1  1  3  1  3  1 -3 -1 -1   0.00000000E+00  -0.19812384E-01  -0.10846196E-05   0.28264919E-05  -0.19810643E-01
 7  8  7  8  1  0  1  0  3  1  3  1 -1  1 -1  1   0.18480308E+00  -0.76140944E-02   0.44657959E-07   0.38106480E-06   0.17718941E+00
 7  8  7  8  1  0  1  0  3  1  3  1  1 -1  1 -1   0.18480308E+00  -0.76140944E-02   0.44657959E-07   0.38106480E-06   0.17718941E+00
 7  8  7  8  1  0  1  0  3  1  3  1  1 -1 -1  1   0.00000000E+00  -0.15228189E-01  -0.17863184E-06   0.53283205E-06  -0.15227835E-01
 7  7  7  7  0  1  0  1  1  1  1  1  1 -1 -1  1   0.00000000E+00   0.28771131E-01  -0.17060511E-05  -0.31352385E-05   0.28766290E-01
 7  8  7  8  1  0  1  0  1  1  1  1 -1  1  1 -1   0.00000000E+00   0.18052421E-02  -0.99017926E-07  -0.30559323E-06   0.18048375E-02
 7  7  7  7  1  1  1  1  1  3  1  3 -1 -1  1 -3   0.00000000E+00   0.76030963E-02  -0.67323674E-06  -0.43832398E-07   0.76023792E-02
 7  8  7  8  1  0  1  0  3  1  3  1 -1  1  1 -1   0.00000000E+00  -0.15228189E-01  -0.17863184E-06   0.53283205E-06  -0.15227835E-01
 7  7  7  7  1  1  1  1  1  3  1  3 -1 -1 -1 -1   0.27781064E+00  -0.87792994E-02  -0.19434671E-06   0.20197344E-06   0.26903135E+00
 7  7  7  7  0  1  0  1  1  3  1  3 -1  1  1 -1   0.00000000E+00  -0.22877371E-01  -0.12524108E-05   0.32637517E-05  -0.22875360E-01
 7  7  7  7  0  1  0  1  1  1  1  1 -1  1  1 -1   0.00000000E+00   0.28771131E-01  -0.17060511E-05  -0.31352385E-05   0.28766290E-01
 7  8  7  8  0  0  0  0  1  1  1  1 -1 -1 -1 -1   0.20002715E+00  -0.75607829E-02  -0.91739574E-07   0.91741428E-07   0.19246637E+00
 7  7  7  7  0  1  0  1  1  3  1  3 -1 -1  1 -3   0.00000000E+00  -0.19812384E-01  -0.10846196E-05   0.28264919E-05  -0.19810643E-01
