n1 n2 n3 n4 m1 m2 m3 m4   <n1n2|C|n3n4>            <n1n2|C|n4n3>            <n1n2|B|n3n4>            <1n2|B|n4n3>            Total
32 32 31 34  1 -1  1 -1   -0.3097913617251085e-02   0.1548956808625542e-02   0.1955132352305258e-06  -0.1034968069746447e-06  -0.4646571415834422e-02
32 32 31 34  1 -1 -1  1    0.1548956808625542e-02  -0.3097913617251085e-02  -0.1034968069746447e-06   0.1955132352305258e-06   0.4646571415834422e-02
32 33 29 30 -1  1  1 -1    0.0000000000000000e+00  -0.6499260355136346e-03  -0.7825089604652132e-07   0.1901753234907609e-06   0.6496576092940974e-03
32 33 29 30  1  1  1  1    0.6906141575075708e-02   0.6499260355136346e-03  -0.3912544802326067e-07  -0.1901753234907609e-06   0.6256366589437541e-02
29 34 29 34  1 -1  1 -1    0.1076408140040001e+00   0.3311658414136304e-03   0.1772263917674384e-07  -0.4211244022542817e-07   0.1073097079976659e+00
30 32 29 34 -1  1  1 -1   -0.6349189747344006e-03   0.0000000000000000e+00   0.3557439564773844e-06  -0.5720609970595532e-08  -0.6345575101679525e-03
30 32 29 34  1  1 -1  3    0.1099711922929522e-02   0.0000000000000000e+00  -0.6161666071044013e-06   0.9908387119356563e-08   0.1099085847935298e-02
30 32 29 34 -1 -1 -1 -1    0.6349189747344007e-03   0.0000000000000000e+00  -0.3557439564773845e-06   0.5720609970595532e-08   0.6345575101679526e-03
30 32 29 34 -1  1 -1  1    0.6349189747344007e-03   0.0000000000000000e+00  -0.3557439564773845e-06   0.5720609970595532e-08   0.6345575101679526e-03
30 32 29 34  1 -1  1 -1   -0.6349189747344007e-03   0.0000000000000000e+00   0.3557439564773845e-06  -0.5720609970595532e-08  -0.6345575101679526e-03
31 31 29 32  3 -1  1  1    0.9412681053297447e-02   0.9412681053297447e-02  -0.1168220001398462e-05  -0.1168220001398462e-05   0.1109728966188891e-18
31 34 30 34 -1 -3 -1 -3   -0.8194571632507209e-03   0.2105249414250590e-03  -0.1831811799910062e-07   0.6975901784352760e-08  -0.1030007398695563e-02
31 34 30 34  3 -3 -1  1   -0.1638914326501441e-02  -0.2105249414250590e-03   0.0000000000000000e+00   0.6717210957547454e-08  -0.1428396102287340e-02
31 34 30 34 -3 -1 -1 -3    0.8194571632507206e-03  -0.2105249414250589e-03   0.1831811799910062e-07  -0.6975901784352757e-08   0.1030007398695563e-02
31 31 30 31  3 -3 -1  1   -0.1260161320769976e-01  -0.6300806603849881e-02   0.0000000000000000e+00   0.2101929655553881e-06  -0.6301016796815434e-02
34 31 31 31 -1  1 -1  1    0.2012616927869898e-01   0.0000000000000000e+00   0.5481360295270169e-07  -0.2027019151845069e-06   0.2012642679421712e-01
32 30 29 30 -1  1 -1  1    0.2938667778315660e-01   0.3596785474980938e-03   0.2339770500392055e-06  -0.1901458056535876e-05   0.2902913467076508e-01
